SR         obs    bkg    bkg_err  S95_obs  S95_exp  S95_exp_errp  S95_exp_errm  
SR0taua01  36     23     4        26.8     14.1     5.6           3.6           
SR0taua02  5      4.2    1.5      6.9      6.2      2.5           1.7           
SR0taua03  9      10.6   1.8      7.3      8.4      3.1           2.3           
SR0taua04  9      8.5    1.7      8.4      7.7      3.1           2.1           
SR0taua05  11     12.9   2.4      7.9      9.0      3.6           2.5           
SR0taua06  13     6.6    1.9      14.4     8.0      3.2           1.9           
SR0taua07  15     14.1   2.2      10.8     9.6      3.9           2.5           
SR0taua08  1      1.1    0.4      3.7      3.7      1.5           0.9           
SR0taua09  28     22.4   3.6      18.0     12.7     4.9           3.5           
SR0taua10  24     16.4   2.8      18.3     11.3     4.5           3.1           
SR0taua11  29     27     5.0      15.3     13.8     5.4           3.7           
SR0taua12  8      5.5    1.5      9.2      6.9      2.9           1.7           
SR0taua13  714.0  715.0  70       133.0    133.0    46.0          36.0          
SR0taua14  214.0  219.0  33.0     65.0     66.0     24.0          18.0          
SR0taua15  63.0   65.0   13.0     27.6     28.6     10.1          7.2           
SR0taua16  3.0    4.6    1.7      5.2      5.9      2.6           1.5           
SR0taua17  60.0   69.0   9.0      18.8     21.4     8.2           5.6           
SR0taua18  1.0    3.4    1.4      3.7      4.8      2.0           1.1           
SR0taua19  0.0    1.2    0.4      3.0      3.7      1.7           0.7           
SR0taua20  0.0    0.29   0.18     3.0      3.0      0.8           0.0           
